# --------------------------------------------------------------------------------------------------------
# Contents:
# The soil profile id for each map id of the Dutch Soil Map.
#
# Source:
# Download the Dutch Soil Map at https://bodemdata.nl/files/download/Levering-BRO-SGM-V2025-01_1.zip.
# This file can is table "soilarea_normalsoilprofile" in the file "BRO-SGM-DownloadBodemkaart-V2025-01_1.gpkg".
# "V2025-1..soilarea.00000" was removed of each maparea_id to reduce storage size.
# Date downloaded: 2026-01-16
# --------------------------------------------------------------------------------------------------------
maparea_id,normalsoilprofile_id
36382,10061
36414,10060
36556,10110
36557,10110
36558,10110
36006,90210030
36030,90110030
36040,90210030
36066,90210030
36104,10040
36446,10061
36439,10061
36133,10060
36134,10060
36135,10060
39738,16160
36219,10040
36581,10110
26827,2010
36585,10110
36596,10110
36643,10110
36669,10110
36688,10110
36449,10061
36566,10110
36701,10110
36707,10110
36727,10110
36754,10110
36451,10061
36462,10060
36528,10110
36531,10110
36538,10110
36554,10110
36561,10110
26830,2010
36848,10110
36862,10110
36870,10110
36882,10110
36749,10110
36751,10110
26836,2010
36765,10110
36766,10110
36885,10110
36923,10130
36916,10130
36920,10130
36937,10110
36933,10110
36949,10130
36972,10130
37366,10130
36976,10110
36988,10111
36774,10110
37004,10110
36996,10110
37015,10111
37022,10111
37031,10111
37054,10111
37074,10110
37098,10110
37117,10110
37150,10110
37158,10111
37164,10111
37193,10110
36793,10110
26855,2010
37234,10110
37238,10110
37310,10130
36788,10110
36823,10110
37313,10130
37431,10130
37432,10130
37404,10130
37393,10130
37479,10130
37397,10130
37543,10130
36805,10110
36826,10110
37758,10130
37491,10130
37511,10130
37535,10130
37559,10130
37781,10130
37827,10130
37830,10130
38454,10170
37858,10130
37877,10130
37870,10130
37898,10140
37911,10140
37954,10130
37953,10130
37972,10130
37975,10130
37994,10130
38004,10130
38083,10130
38097,10130
37419,10130
37420,10130
37424,10130
37422,10130
38322,10150
38321,10150
38098,10130
38354,10151
38337,10150
38346,10151
38356,10151
38364,10150
38397,10151
38410,10150
38415,10151
38418,10151
38424,10170
38425,10170
38443,10151
38101,10130
38126,10130
38331,10151
38160,10170
38182,90216230
38190,10140
38204,90216230
38226,90216230
38254,10151
38262,10150
38446,10151
38492,10150
38494,10150
38513,90216250
38524,90216250
38532,90216240
38543,90216240
38544,90216240
38559,90216230
38606,90116240
38614,90216230
38622,90216230
38638,90216230
38643,90216230
38701,90216230
38754,90216230
38815,90216230
38836,90216240
41296,16040
38866,90216230
38887,90216250
38902,90116240
38923,90216250
38937,90216240
38959,90116260
40185,16110
39147,90216260
39160,90216240
41322,16040
38289,10151
39633,16070
39659,16070
39676,16070
39671,16200
39706,16160
39721,16200
39758,16160
39796,16200
39801,16200
39806,16200
39813,16160
39832,90216050
39877,16140
39887,16140
39271,90116080
39300,90116210
39311,90216260
39360,90216260
39394,90216240
39410,16200
39466,16160
39608,16201
40064,90216050
40096,16171
40124,90216050
40144,90116050
40151,16110
40156,16110
40160,16110
40176,90216050
40180,16110
40223,90216050
40228,16160
40259,90116060
40269,16150
40275,16150
40301,16150
40304,16150
40322,90216060
40350,16150
40429,16130
40430,16130
40954,90216090
40961,90216090
40965,90216090
40971,90116090
41002,90216090
41031,90216090
41121,12010
41145,1290
41263,16040
39913,16140
39995,90216050
40016,16170
40017,16170
40029,90216050
40037,90216050
40493,16130
40506,16130
40519,16130
40568,16130
40571,16130
40592,16130
40607,16130
40616,16130
40678,90216090
41156,1290
41192,90216220
41164,1290
41169,90116220
41187,90216220
41178,1320
41196,90116220
41202,16040
40679,90216090
40686,90216220
40695,90216220
40706,90216220
40730,90116220
40737,90216220
40793,90216090
40866,90216090
40807,90216090
40833,90216090
40843,90216090
40857,90216090
40895,90216090
40902,90216090
40916,90116090
40940,90116090
41348,90216060
41357,16130
41359,16130
41365,16040
41415,16040
41398,16040
41423,16040
41420,16040
41426,16040
41428,16040
41449,16040
41220,16040
41211,90116220
41215,90216220
41216,90116220
41257,90116220
41289,16040
41294,16040
41599,1281
41601,1281
41613,3011
41447,1070
41453,16040
41493,1320
41650,1290
41676,1290
41679,1290
41685,1320
41694,1290
37562,10130
41706,1320
41714,1320
41719,1320
41738,1290
37568,10130
37676,10130
41748,1320
41773,1290
41780,1290
41787,1290
41779,1290
37693,10130
41795,1320
41805,1290
41857,1281
41859,1281
41865,2020
41495,1320
37694,10130
37707,10130
41500,1320
41830,2020
41843,2020
41844,1281
41851,1281
41502,1320
41523,1320
41530,1290
42304,2020
41535,2130
41896,1282
41897,1282
41537,2131
41540,1290
41597,1281
41553,1310
41554,1310
41563,1310
41564,1310
41577,1281
41900,1282
41915,2020
41568,1300
42125,2020
41918,2020
41924,2020
42116,2020
42128,2020
41862,2020
41864,2020
41957,1281
42333,2020
42344,2020
42347,2020
42359,2020
42129,2020
42134,2020
42394,2020
42141,2020
42362,2020
41944,2020
42146,2020
42157,2020
42530,2030
42158,2020
42203,2020
42160,2020
41949,2020
42185,2020
42197,2020
42193,2030
42216,2020
41985,2020
42376,2020
42378,2020
42392,2020
42412,2020
42396,2020
42401,2020
42234,2020
44018,90110280
44019,90110280
42406,2020
42423,2020
42410,2020
42452,2030
42447,2030
42450,2030
42246,2020
42489,2130
41988,2020
42463,2130
43182,2130
42264,2020
42276,2020
42319,2020
42286,2020
42295,2020
41997,2020
42307,2020
42313,2020
42326,2020
43183,2130
42468,2130
42484,2130
42494,2130
42545,2130
42556,2030
42512,2030
42516,2030
41999,2020
42011,2020
42031,2020
42521,2130
42533,2030
42539,2130
42565,2130
42567,2030
42569,2030
42581,2130
42732,2130
42749,2130
42752,2130
43663,9013010
42583,2130
42053,2020
42071,2020
42756,2130
42585,2130
42767,2130
42588,2130
42595,2030
42790,2130
42791,2130
42707,2130
42618,2130
42793,2130
43137,2130
42816,2130
42822,2130
42074,2020
42824,2130
42083,2020
42828,2130
42623,2130
42625,2130
42631,2130
42835,2130
42842,2130
42917,2130
42643,2130
42644,2130
42650,2130
42664,2130
42668,2130
42097,2020
42671,2130
